,Date,Moment
201,2025-01-22,0.02
202,2025-01-23,0.02
203,2025-01-24,0.01
204,2025-01-27,0.0
205,2025-01-28,0.01
206,2025-01-29,0.01
207,2025-01-30,0.01
208,2025-01-31,0.02
209,2025-02-03,0.01
210,2025-02-04,0.01
211,2025-02-05,0.02
212,2025-02-06,0.02
213,2025-02-07,0.01
214,2025-02-10,0.01
215,2025-02-11,0.01
216,2025-02-12,0.01
217,2025-02-13,0.01
218,2025-02-14,0.01
219,2025-02-18,0.01
220,2025-02-19,0.01
221,2025-02-20,0.01
222,2025-02-21,-0.01
223,2025-02-24,-0.01
224,2025-02-25,-0.01
225,2025-02-26,-0.02
226,2025-02-27,-0.02
227,2025-02-28,-0.01
228,2025-03-03,-0.03
229,2025-03-04,-0.03
230,2025-03-05,-0.0
231,2025-03-06,-0.01
232,2025-03-07,-0.02
233,2025-03-10,-0.04
234,2025-03-11,-0.05
235,2025-03-12,-0.05
236,2025-03-13,-0.05
237,2025-03-14,-0.03
238,2025-03-17,-0.02
239,2025-03-18,-0.03
240,2025-03-19,-0.03
241,2025-03-20,-0.04
242,2025-03-21,-0.03
243,2025-03-24,-0.02
244,2025-03-25,-0.01
245,2025-03-26,-0.01
246,2025-03-27,-0.02
247,2025-03-28,-0.04
248,2025-03-31,-0.04
249,2025-04-01,-0.04
250,2025-04-02,-0.04
