,ICSA,Date
0,223000,2024-03-30
1,212000,2024-04-06
2,211000,2024-04-13
3,209000,2024-04-20
4,209000,2024-04-27
5,229000,2024-05-04
6,222000,2024-05-11
7,216000,2024-05-18
8,221000,2024-05-25
9,229000,2024-06-01
10,241000,2024-06-08
11,237000,2024-06-15
12,233000,2024-06-22
13,238000,2024-06-29
14,222000,2024-07-06
15,240000,2024-07-13
16,236000,2024-07-20
17,248000,2024-07-27
18,234000,2024-08-03
19,228000,2024-08-10
20,232000,2024-08-17
21,232000,2024-08-24
22,228000,2024-08-31
23,230000,2024-09-07
24,222000,2024-09-14
25,221000,2024-09-21
26,227000,2024-09-28
27,259000,2024-10-05
28,240000,2024-10-12
29,228000,2024-10-19
30,218000,2024-10-26
31,221000,2024-11-02
32,219000,2024-11-09
33,216000,2024-11-16
34,216000,2024-11-23
35,225000,2024-11-30
36,239000,2024-12-07
37,222000,2024-12-14
38,219000,2024-12-21
39,209000,2024-12-28
40,205000,2025-01-04
41,217000,2025-01-11
42,222000,2025-01-18
43,210000,2025-01-25
44,222000,2025-02-01
45,215000,2025-02-08
46,224000,2025-02-15
47,243000,2025-02-22
48,224000,2025-03-01
49,223000,2025-03-08
50,225000,2025-03-15
51,224000,2025-03-22
