,ICSA,Date
0,241000,2024-06-08
1,237000,2024-06-15
2,233000,2024-06-22
3,238000,2024-06-29
4,222000,2024-07-06
5,240000,2024-07-13
6,236000,2024-07-20
7,248000,2024-07-27
8,234000,2024-08-03
9,228000,2024-08-10
10,232000,2024-08-17
11,232000,2024-08-24
12,228000,2024-08-31
13,230000,2024-09-07
14,222000,2024-09-14
15,221000,2024-09-21
16,227000,2024-09-28
17,259000,2024-10-05
18,240000,2024-10-12
19,228000,2024-10-19
20,218000,2024-10-26
21,221000,2024-11-02
22,219000,2024-11-09
23,216000,2024-11-16
24,216000,2024-11-23
25,225000,2024-11-30
26,239000,2024-12-07
27,222000,2024-12-14
28,219000,2024-12-21
29,209000,2024-12-28
30,205000,2025-01-04
31,217000,2025-01-11
32,222000,2025-01-18
33,210000,2025-01-25
34,222000,2025-02-01
35,215000,2025-02-08
36,224000,2025-02-15
37,243000,2025-02-22
38,224000,2025-03-01
39,223000,2025-03-08
40,225000,2025-03-15
41,225000,2025-03-22
42,219000,2025-03-29
43,224000,2025-04-05
44,216000,2025-04-12
45,223000,2025-04-19
46,241000,2025-04-26
47,229000,2025-05-03
48,228000,2025-05-10
49,226000,2025-05-17
50,240000,2025-05-24
