,MORTGAGE30US,Date
0,7.09,2024-05-09
1,7.02,2024-05-16
2,6.94,2024-05-23
3,7.03,2024-05-30
4,6.99,2024-06-06
5,6.95,2024-06-13
6,6.87,2024-06-20
7,6.86,2024-06-27
8,6.95,2024-07-03
9,6.89,2024-07-11
10,6.77,2024-07-18
11,6.78,2024-07-25
12,6.73,2024-08-01
13,6.47,2024-08-08
14,6.49,2024-08-15
15,6.46,2024-08-22
16,6.35,2024-08-29
17,6.35,2024-09-05
18,6.2,2024-09-12
19,6.09,2024-09-19
20,6.08,2024-09-26
21,6.12,2024-10-03
22,6.32,2024-10-10
23,6.44,2024-10-17
24,6.54,2024-10-24
25,6.72,2024-10-31
26,6.79,2024-11-07
27,6.78,2024-11-14
28,6.84,2024-11-21
29,6.81,2024-11-27
30,6.69,2024-12-05
31,6.6,2024-12-12
32,6.72,2024-12-19
33,6.85,2024-12-26
34,6.91,2025-01-02
35,6.93,2025-01-09
36,7.04,2025-01-16
37,6.96,2025-01-23
38,6.95,2025-01-30
39,6.89,2025-02-06
40,6.87,2025-02-13
41,6.85,2025-02-20
42,6.76,2025-02-27
43,6.63,2025-03-06
44,6.65,2025-03-13
45,6.67,2025-03-20
46,6.65,2025-03-27
47,6.64,2025-04-03
48,6.62,2025-04-10
49,6.83,2025-04-17
50,6.81,2025-04-24
51,6.76,2025-05-01
