,MORTGAGE30US,Date
0,6.82,2024-04-04
1,6.88,2024-04-11
2,7.1,2024-04-18
3,7.17,2024-04-25
4,7.22,2024-05-02
5,7.09,2024-05-09
6,7.02,2024-05-16
7,6.94,2024-05-23
8,7.03,2024-05-30
9,6.99,2024-06-06
10,6.95,2024-06-13
11,6.87,2024-06-20
12,6.86,2024-06-27
13,6.95,2024-07-03
14,6.89,2024-07-11
15,6.77,2024-07-18
16,6.78,2024-07-25
17,6.73,2024-08-01
18,6.47,2024-08-08
19,6.49,2024-08-15
20,6.46,2024-08-22
21,6.35,2024-08-29
22,6.35,2024-09-05
23,6.2,2024-09-12
24,6.09,2024-09-19
25,6.08,2024-09-26
26,6.12,2024-10-03
27,6.32,2024-10-10
28,6.44,2024-10-17
29,6.54,2024-10-24
30,6.72,2024-10-31
31,6.79,2024-11-07
32,6.78,2024-11-14
33,6.84,2024-11-21
34,6.81,2024-11-27
35,6.69,2024-12-05
36,6.6,2024-12-12
37,6.72,2024-12-19
38,6.85,2024-12-26
39,6.91,2025-01-02
40,6.93,2025-01-09
41,7.04,2025-01-16
42,6.96,2025-01-23
43,6.95,2025-01-30
44,6.89,2025-02-06
45,6.87,2025-02-13
46,6.85,2025-02-20
47,6.76,2025-02-27
48,6.63,2025-03-06
49,6.65,2025-03-13
50,6.67,2025-03-20
51,6.65,2025-03-27
52,6.64,2025-04-03
